G1Q00004,G2Q00007,G1Q00008,region,postulacion_final,rango_etario,conteo
No binaria,Hasta dos años,CABA,BUENOS AIRES,No,31 a 40 años,1
Mujer,Hasta dos años,Buenos Aires,BUENOS AIRES,No,31 a 40 años,1
Mujer,Hasta dos años,Buenos Aires,BUENOS AIRES,Sí,21 a 30 años,1
Mujer,Hasta dos años,Córdoba,CENTRO,No,31 a 40 años,1
Mujer Trans,Hasta dos años,Córdoba,CENTRO,Sí,41 a 50 años,1
Mujer,Hasta dos años,CABA,BUENOS AIRES,Sí,21 a 30 años,1
Mujer,Hasta dos años,Buenos Aires,BUENOS AIRES,Sí,51 a 60 años,1
Mujer,Hasta dos años,Mendoza,CUYO,Sí,31 a 40 años,1
Varón,Hasta dos años,Buenos Aires,BUENOS AIRES,Sí,31 a 40 años,1
Mujer,Hasta dos años,Buenos Aires,BUENOS AIRES,Sí,21 a 30 años,1
Mujer Trans,Hasta dos años,Tucumán,NOA,Sí,21 a 30 años,1
Mujer,Hasta dos años,Buenos Aires,BUENOS AIRES,No,21 a 30 años,1
Mujer,Hasta dos años,Córdoba,CENTRO,Sí,21 a 30 años,1
Mujer,Hasta dos años,Catamarca,NOA,Sí,31 a 40 años,1
Mujer,Hasta dos años,Salta,NOA,Sí,51 a 60 años,1
Mujer,Hasta dos años,Río Negro,PATAGONIA,Sí,31 a 40 años,1
Mujer,Hasta dos años,Buenos Aires,BUENOS AIRES,Sí,31 a 40 años,1
Mujer,Hasta dos años,Río Negro,PATAGONIA,No,41 a 50 años,1
Mujer,Hasta dos años,Buenos Aires,BUENOS AIRES,No,21 a 30 años,1
Varón,Hasta dos años,Buenos Aires,BUENOS AIRES,Sí,41 a 50 años,1
Mujer,Hasta dos años,Entre Ríos,CENTRO,Sí,41 a 50 años,1
Varón,Hasta dos años,Jujuy,NOA,No,51 a 60 años,1
Mujer,Hasta dos años,Buenos Aires,BUENOS AIRES,Sí,51 a 60 años,1
Mujer,Hasta dos años,Chubut,PATAGONIA,Sí,31 a 40 años,1
Mujer,Hasta dos años,Buenos Aires,BUENOS AIRES,Sí,51 a 60 años,1
Mujer,Hasta dos años,CABA,BUENOS AIRES,Sí,41 a 50 años,1
Varón,Hasta dos años,CABA,BUENOS AIRES,No,51 a 60 años,1
Mujer,Hasta dos años,Chubut,PATAGONIA,Sí,41 a 50 años,1
Varón,Hasta dos años,CABA,BUENOS AIRES,No,41 a 50 años,1
Mujer,Hasta dos años,Jujuy,NOA,Sí,41 a 50 años,1
Mujer,Hasta dos años,Chubut,PATAGONIA,Sí,31 a 40 años,1
Mujer,Hasta dos años,Chaco,NEA,Sí,31 a 40 años,1
Mujer,Hasta dos años,Entre Ríos,CENTRO,No,31 a 40 años,1
Varón,Hasta dos años,Mendoza,CUYO,Sí,31 a 40 años,1
Mujer,Hasta dos años,Entre Ríos,CENTRO,Sí,41 a 50 años,1
Mujer,Hasta dos años,Buenos Aires,BUENOS AIRES,No,51 a 60 años,1
