G1Q00004,rango_etario,G1Q00008,region,postulacion_final,conteo
Mujer,21 a 30 años,Salta,NOA,NO,1
Mujer,21 a 30 años,Mendoza,CUYO,NO,1
Varón,41 a 50 años,Córdoba,CENTRO,NO,1
Mujer,41 a 50 años,Santa Fe,CENTRO,NO,1
Prefiero no decirlo,41 a 50 años,Santa Fe,CENTRO,NO,1
Varón,21 a 30 años,Tucumán,NOA,NO,1
Mujer,41 a 50 años,Mendoza,CUYO,NO,1
Varón,41 a 50 años,CABA,BUENOS AIRES,NO,1
Mujer,51 a 60 años,CABA,BUENOS AIRES,NO,1
Mujer,51 a 60 años,Chubut,PATAGONIA,NO,1
Mujer,31 a 40 años,La Pampa,PATAGONIA,NO,1
Mujer,31 a 40 años,Corrientes,NEA,NO,1
Mujer,31 a 40 años,Salta,NOA,NO,1
Mujer,61 a 70 años,Catamarca,NOA,NO,1
Mujer,41 a 50 años,Otro país,Otro país,NO,1
Mujer,41 a 50 años,Corrientes,NEA,NO,1
Varón,31 a 40 años,Buenos Aires,BUENOS AIRES,NO,1
Mujer,31 a 40 años,Tucumán,NOA,NO,1
Mujer,61 a 70 años,Buenos Aires,BUENOS AIRES,NO,1
Varón,21 a 30 años,Jujuy,NOA,NO,1
Mujer,31 a 40 años,Salta,NOA,NO,1
Mujer,41 a 50 años,Tucumán,NOA,NO,1
Mujer,31 a 40 años,Chubut,PATAGONIA,NO,1
Mujer,21 a 30 años,Jujuy,NOA,NO,1
Mujer,41 a 50 años,Tucumán,NOA,NO,1
Varón,51 a 60 años,CABA,BUENOS AIRES,NO,1
Mujer,41 a 50 años,Buenos Aires,BUENOS AIRES,NO,1
Mujer,41 a 50 años,Santa Fe,CENTRO,NO,1
Varón,51 a 60 años,Entre Ríos,CENTRO,NO,1
Mujer,51 a 60 años,CABA,BUENOS AIRES,NO,1
Mujer,31 a 40 años,Buenos Aires,BUENOS AIRES,NO,1
Varón,21 a 30 años,Chaco,NEA,NO,1
Mujer,41 a 50 años,Mendoza,CUYO,NO,1
Mujer,41 a 50 años,Buenos Aires,BUENOS AIRES,NO,1
Mujer,51 a 60 años,Otro país,Otro país,NO,1
Mujer,21 a 30 años,Tucumán,NOA,NO,1
Mujer,31 a 40 años,CABA,BUENOS AIRES,NO,1
Varón,41 a 50 años,CABA,BUENOS AIRES,NO,1
Mujer,21 a 30 años,La Rioja,NOA,NO,1
Mujer,31 a 40 años,Buenos Aires,BUENOS AIRES,NO,1
Varón,21 a 30 años,San Juan,CUYO,NO,1
Mujer,21 a 30 años,San Juan,CUYO,NO,1
Varón,51 a 60 años,San Juan,CUYO,NO,1
Mujer,41 a 50 años,San Juan,CUYO,NO,1
Mujer,41 a 50 años,Buenos Aires,BUENOS AIRES,NO,1
Mujer,31 a 40 años,San Juan,CUYO,NO,1
Mujer,31 a 40 años,Salta,NOA,NO,1
Varón,41 a 50 años,Río Negro,PATAGONIA,NO,1
Mujer,31 a 40 años,San Juan,CUYO,NO,1
Mujer,31 a 40 años,Misiones,NEA,NO,1
Mujer,51 a 60 años,San Juan,CUYO,NO,1
Mujer,31 a 40 años,Chubut,PATAGONIA,NO,1
Mujer,41 a 50 años,Río Negro,PATAGONIA,NO,1
Varón,18 a 20 años,CABA,BUENOS AIRES,NO,1
Mujer,41 a 50 años,Mendoza,CUYO,A REVISAR,1
Varón,51 a 60 años,Corrientes,NEA,A REVISAR,1
Mujer,31 a 40 años,Entre Ríos,CENTRO,A REVISAR,1
Mujer,31 a 40 años,Jujuy,NOA,A REVISAR,1
Varón,41 a 50 años,Santiago del Estero,NOA,A REVISAR,1
Varón,31 a 40 años,CABA,BUENOS AIRES,A REVISAR,1
Mujer,31 a 40 años,Jujuy,NOA,A REVISAR,1
Mujer,51 a 60 años,Entre Ríos,CENTRO,A REVISAR,1
Mujer,31 a 40 años,CABA,BUENOS AIRES,A REVISAR,1
Mujer,41 a 50 años,Tucumán,NOA,A REVISAR,1
Mujer,31 a 40 años,CABA,BUENOS AIRES,A REVISAR,1
Mujer,31 a 40 años,Entre Ríos,CENTRO,A REVISAR,1
Mujer,61 a 70 años,Buenos Aires,BUENOS AIRES,A REVISAR,1
Mujer,51 a 60 años,Buenos Aires,BUENOS AIRES,A REVISAR,1
Varón,31 a 40 años,Buenos Aires,BUENOS AIRES,A REVISAR,1
Mujer,31 a 40 años,La Pampa,PATAGONIA,A REVISAR,1
Mujer,51 a 60 años,Córdoba,CENTRO,A REVISAR,1
Mujer,41 a 50 años,Buenos Aires,BUENOS AIRES,A REVISAR,1
Mujer,61 a 70 años,Chubut,PATAGONIA,A REVISAR,1
Mujer,41 a 50 años,Tucumán,NOA,A REVISAR,1
Mujer,51 a 60 años,Neuquén,PATAGONIA,A REVISAR,1
Mujer,31 a 40 años,Misiones,NEA,A REVISAR,1
Mujer,21 a 30 años,Mendoza,CUYO,A REVISAR,1
Varón,51 a 60 años,CABA,BUENOS AIRES,A REVISAR,1
Varón,31 a 40 años,Entre Ríos,CENTRO,A REVISAR,1
Mujer,41 a 50 años,Santa Fe,CENTRO,A REVISAR,1
Mujer,51 a 60 años,Buenos Aires,BUENOS AIRES,A REVISAR,1
Mujer,41 a 50 años,Corrientes,NEA,A REVISAR,1
Mujer,51 a 60 años,Santa Fe,CENTRO,A REVISAR,1
